,Unnamed: 0,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand,CLASS,HANDLING_COST_BRIDGE,HANDLING_COST_AWAY,HANDLING_COST_BRIDGE_ON_BUSES,Stand_Take_Time_Away,Stand_Take_Time_Bridge,Stand_Leave_Time_Bridge,Stand_Leave_Time_Away,BRIDGE_CODE,ACTUAL_LEAVE,ACTUAL_TAKE,Стоимость размещения,Минимальная стоимость размещения,Тип обслуживания
38,161,A,17.08.2019 1:10,SU,45,D,1,LED,32A,158,122,123,Narrow_Body,1250,1495,1625,2019-08-17 01:10:00,2019-08-17 01:10:00,2019-08-17 02:00:00,2019-08-17 02:15:00,DA,2019-08-17 02:23:00,2019-08-17 01:10:00,1940,1850,Телетрап
39,402,D,17.08.2019 1:20,SU,1632,D,1,SIP,32A,158,127,120,Narrow_Body,1250,1495,1625,2019-08-17 00:15:00,2019-08-17 00:30:00,2019-08-17 01:20:00,2019-08-17 01:20:00,DD,2019-08-17 01:20:00,2019-08-17 00:06:00,1970,1850,Телетрап
40,875,D,17.08.2019 1:25,N4,1611,I,2,HER,772,440,437,55,Wide_Body,1500,1840,2000,2019-08-17 00:05:00,2019-08-17 00:25:00,2019-08-17 01:25:00,2019-08-17 01:25:00,ID,2019-08-17 01:25:00,2019-08-17 00:04:00,2130,2100,Телетрап
41,20,D,17.08.2019 1:25,SU,1218,D,1,PEE,SU9,87,85,206,Regional,1000,1150,1250,2019-08-17 00:35:00,2019-08-17 00:45:00,2019-08-17 01:25:00,2019-08-17 01:25:00,DD,2019-08-17 01:25:00,2019-08-17 00:30:00,1630,1600,Автобусы
42,667,D,17.08.2019 1:25,N4,541,D,3,OMS,73H,189,152,15,Narrow_Body,1250,1495,1625,2019-08-17 00:20:00,2019-08-17 00:35:00,2019-08-17 01:25:00,2019-08-17 01:25:00,DD,2019-08-17 01:25:00,2019-08-17 00:21:00,1670,1550,Телетрап
43,154,D,17.08.2019 1:30,SU,36,D,1,LED,32A,158,145,190,Narrow_Body,1250,1495,1625,2019-08-17 00:25:00,2019-08-17 00:40:00,2019-08-17 01:30:00,2019-08-17 01:30:00,DD,2019-08-17 01:30:00,2019-08-17 00:19:00,1975,1850,Автобусы
44,1039,A,17.08.2019 1:30,KL,907,I,5,AMS,73H,186,124,37,Narrow_Body,1250,1495,1625,2019-08-17 01:30:00,2019-08-17 01:30:00,2019-08-17 02:20:00,2019-08-17 02:35:00,IA,2019-08-17 02:35:00,2019-08-17 01:30:00,1700,1700,Телетрап
45,94,D,17.08.2019 1:30,SU,1508,D,1,TJM,SU9,87,87,213,Regional,1000,1150,1250,2019-08-17 00:40:00,2019-08-17 00:50:00,2019-08-17 01:30:00,2019-08-17 01:30:00,DD,2019-08-17 01:30:00,2019-08-17 00:34:00,1660,1600,Автобусы
46,370,D,17.08.2019 1:35,SU,1512,D,1,SGC,32A,158,127,114,Narrow_Body,1250,1495,1625,2019-08-17 00:30:00,2019-08-17 00:45:00,2019-08-17 01:35:00,2019-08-17 01:35:00,DD,2019-08-17 01:35:00,2019-08-17 00:25:00,1850,1850,Телетрап
47,760,D,17.08.2019 1:35,SU,500,I,3,TLV,32B,183,181,27,Narrow_Body,1250,1495,1625,2019-08-17 00:30:00,2019-08-17 00:45:00,2019-08-17 01:35:00,2019-08-17 01:35:00,ID,2019-08-17 01:35:00,2019-08-17 00:29:00,1730,1550,Телетрап
48,730,A,17.08.2019 1:35,AY,719,I,3,HEL,E90,100,100,22,Regional,1000,1150,1250,2019-08-17 01:35:00,2019-08-17 01:35:00,2019-08-17 02:15:00,2019-08-17 02:25:00,IA,2019-08-17 02:28:00,2019-08-17 01:35:00,1390,1300,Телетрап
49,1054,A,17.08.2019 1:35,AF,1844,I,5,CDG,319,143,117,38,Narrow_Body,1250,1495,1625,2019-08-17 01:35:00,2019-08-17 01:35:00,2019-08-17 02:25:00,2019-08-17 02:40:00,IA,2019-08-17 02:40:00,2019-08-17 01:35:00,1700,1700,Телетрап
50,272,D,17.08.2019 1:40,SU,1234,D,1,UFA,32A,158,149,118,Narrow_Body,1250,1495,1625,2019-08-17 00:35:00,2019-08-17 00:50:00,2019-08-17 01:40:00,2019-08-17 01:40:00,DD,2019-08-17 01:40:00,2019-08-17 00:26:00,1970,1850,Телетрап
51,350,D,17.08.2019 1:50,SU,1472,D,3,NJC,73H,158,154,17,Narrow_Body,1250,1495,1625,2019-08-17 00:45:00,2019-08-17 01:00:00,2019-08-17 01:50:00,2019-08-17 01:50:00,DD,2019-08-17 01:50:00,2019-08-17 00:48:00,1610,1550,Телетрап
52,34,D,17.08.2019 1:50,SU,1288,D,1,ULV,SU9,87,82,215,Regional,1000,1150,1250,2019-08-17 01:00:00,2019-08-17 01:10:00,2019-08-17 01:50:00,2019-08-17 01:50:00,DD,2019-08-17 01:50:00,2019-08-17 00:53:00,1660,1600,Автобусы
53,18,D,17.08.2019 1:50,SU,1206,D,1,KUF,SU9,87,76,88,Regional,1000,1150,1250,2019-08-17 01:00:00,2019-08-17 01:10:00,2019-08-17 01:50:00,2019-08-17 01:50:00,DD,2019-08-17 01:50:00,2019-08-17 00:55:00,1480,1450,Автобусы
54,374,D,17.08.2019 1:55,SU,1522,D,1,NUX,32A,158,154,119,Narrow_Body,1250,1495,1625,2019-08-17 00:50:00,2019-08-17 01:05:00,2019-08-17 01:55:00,2019-08-17 01:55:00,DD,2019-08-17 01:55:00,2019-08-17 00:40:00,2000,1850,Телетрап
55,336,D,17.08.2019 1:55,SU,1436,D,1,SVX,32A,158,127,121,Narrow_Body,1250,1495,1625,2019-08-17 00:50:00,2019-08-17 01:05:00,2019-08-17 01:55:00,2019-08-17 01:55:00,DD,2019-08-17 01:55:00,2019-08-17 00:45:00,1850,1850,Телетрап
56,14,D,17.08.2019 1:55,SU,1164,D,1,ROV,SU9,87,81,191,Regional,1000,1150,1250,2019-08-17 01:05:00,2019-08-17 01:15:00,2019-08-17 01:55:00,2019-08-17 01:55:00,DD,2019-08-17 01:55:00,2019-08-17 00:59:00,1630,1600,Автобусы
57,247,D,17.08.2019 2:00,SU,1188,D,1,VOG,73H,158,151,115,Narrow_Body,1250,1495,1625,2019-08-17 00:55:00,2019-08-17 01:10:00,2019-08-17 02:00:00,2019-08-17 02:00:00,DD,2019-08-17 02:00:00,2019-08-17 00:48:00,1910,1850,Телетрап
58,432,D,17.08.2019 2:05,SU,1864,I,3,EVN,32A,158,136,25,Narrow_Body,1250,1495,1625,2019-08-17 01:00:00,2019-08-17 01:15:00,2019-08-17 02:05:00,2019-08-17 02:05:00,ID,2019-08-17 02:05:00,2019-08-17 01:02:00,1640,1550,Телетрап
59,877,D,17.08.2019 2:10,N4,1835,I,2,DLM,772,440,352,46,Wide_Body,1500,1840,2000,2019-08-17 00:50:00,2019-08-17 01:10:00,2019-08-17 02:10:00,2019-08-17 02:10:00,ID,2019-08-17 02:10:00,2019-08-17 00:47:00,2190,2100,Телетрап
60,818,A,17.08.2019 2:10,SU,2383,I,3,GVA,32B,183,146,24,Narrow_Body,1250,1495,1625,2019-08-17 02:10:00,2019-08-17 02:10:00,2019-08-17 03:00:00,2019-08-17 03:15:00,IA,2019-08-17 03:13:00,2019-08-17 02:10:00,1640,1550,Телетрап
61,884,D,17.08.2019 2:30,N4,1801,I,2,AYT,77W,486,389,57,Wide_Body,1500,1840,2000,2019-08-17 01:10:00,2019-08-17 01:30:00,2019-08-17 02:30:00,2019-08-17 02:30:00,ID,2019-08-17 02:30:00,2019-08-17 01:07:00,2190,2100,Телетрап
62,942,A,17.08.2019 2:35,SU,2305,I,3,FRA,320,140,112,22,Narrow_Body,1250,1495,1625,2019-08-17 02:35:00,2019-08-17 02:35:00,2019-08-17 03:25:00,2019-08-17 03:40:00,IA,2019-08-17 03:38:00,2019-08-17 02:35:00,1640,1550,Телетрап
63,292,D,17.08.2019 2:40,SU,1300,D,1,MRV,32A,158,139,116,Narrow_Body,1250,1495,1625,2019-08-17 01:35:00,2019-08-17 01:50:00,2019-08-17 02:40:00,2019-08-17 02:40:00,DD,2019-08-17 02:40:00,2019-08-17 01:27:00,1940,1850,Телетрап
64,1074,A,17.08.2019 2:45,FV,6152,D,3,SIP,77W,457,454,13,Wide_Body,1500,1840,2000,2019-08-17 02:45:00,2019-08-17 02:45:00,2019-08-17 03:45:00,2019-08-17 04:05:00,DA,2019-08-17 03:55:00,2019-08-17 02:45:00,1800,1800,Телетрап
65,508,A,17.08.2019 2:50,SU,2339,I,3,STR,32A,158,158,21,Narrow_Body,1250,1495,1625,2019-08-17 02:50:00,2019-08-17 02:50:00,2019-08-17 03:40:00,2019-08-17 03:55:00,IA,2019-08-17 03:54:00,2019-08-17 02:50:00,1670,1550,Телетрап
66,957,A,17.08.2019 2:50,SU,2393,I,3,ZRH,320,140,127,25,Narrow_Body,1250,1495,1625,2019-08-17 02:50:00,2019-08-17 02:50:00,2019-08-17 03:40:00,2019-08-17 03:55:00,IA,2019-08-17 03:53:00,2019-08-17 02:50:00,1640,1550,Телетрап
67,1093,D,17.08.2019 2:50,ZF,9007,I,2,AYT,77W,531,425,49,Wide_Body,1500,1840,2000,2019-08-17 01:30:00,2019-08-17 01:50:00,2019-08-17 02:50:00,2019-08-17 02:50:00,ID,2019-08-17 02:50:00,2019-08-17 01:28:00,2160,2100,Телетрап
68,916,D,17.08.2019 2:55,SU,1674,D,3,ROV,320,140,86,16,Narrow_Body,1250,1495,1625,2019-08-17 01:50:00,2019-08-17 02:05:00,2019-08-17 02:55:00,2019-08-17 02:55:00,DD,2019-08-17 02:55:00,2019-08-17 01:54:00,1580,1550,Телетрап
69,910,D,17.08.2019 3:05,SU,1448,D,3,MQF,320,140,102,17,Narrow_Body,1250,1495,1625,2019-08-17 02:00:00,2019-08-17 02:15:00,2019-08-17 03:05:00,2019-08-17 03:05:00,DD,2019-08-17 03:05:00,2019-08-17 02:03:00,1610,1550,Телетрап
70,996,A,17.08.2019 3:05,AZ,542,I,5,CTA,321,200,147,38,Narrow_Body,1250,1495,1625,2019-08-17 03:05:00,2019-08-17 03:05:00,2019-08-17 03:55:00,2019-08-17 04:10:00,IA,2019-08-17 04:10:00,2019-08-17 03:05:00,1700,1700,Телетрап
71,677,A,17.08.2019 3:05,OK,898,I,2,PRG,73H,189,183,48,Narrow_Body,1250,1495,1625,2019-08-17 03:05:00,2019-08-17 03:05:00,2019-08-17 03:55:00,2019-08-17 04:10:00,IA,2019-08-17 04:15:00,2019-08-17 03:05:00,1850,1850,Телетрап
72,1089,D,17.08.2019 3:05,RL,7543,I,2,DLM,752,224,221,52,Wide_Body,1500,1840,2000,2019-08-17 01:45:00,2019-08-17 02:05:00,2019-08-17 03:05:00,2019-08-17 03:05:00,ID,2019-08-17 03:05:00,2019-08-17 01:41:00,2220,2100,Телетрап
73,987,A,17.08.2019 3:15,SU,2595,I,3,MUC,320,140,134,20,Narrow_Body,1250,1495,1625,2019-08-17 03:15:00,2019-08-17 03:15:00,2019-08-17 04:05:00,2019-08-17 04:20:00,IA,2019-08-17 04:18:00,2019-08-17 03:15:00,1640,1550,Телетрап
74,1002,A,17.08.2019 3:20,KM,560,I,5,MLA,320,180,139,80,Narrow_Body,1250,1495,1625,2019-08-17 03:20:00,2019-08-17 03:20:00,2019-08-17 04:10:00,2019-08-17 04:25:00,IA,2019-08-17 04:30:00,2019-08-17 03:20:00,2095,1700,Автобусы
75,1024,A,17.08.2019 3:25,JU,656,I,5,BEG,319,138,115,44,Narrow_Body,1250,1495,1625,2019-08-17 03:25:00,2019-08-17 03:25:00,2019-08-17 04:15:00,2019-08-17 04:30:00,IA,2019-08-17 04:41:00,2019-08-17 03:25:00,2125,1700,Автобусы
76,1082,D,17.08.2019 3:30,RL,7701,I,2,AYT,77W,492,490,55,Wide_Body,1500,1840,2000,2019-08-17 02:10:00,2019-08-17 02:30:00,2019-08-17 03:30:00,2019-08-17 03:30:00,ID,2019-08-17 03:30:00,2019-08-17 02:09:00,2130,2100,Телетрап
77,528,A,17.08.2019 3:35,SU,2497,I,5,CPH,73H,158,121,45,Narrow_Body,1250,1495,1625,2019-08-17 03:35:00,2019-08-17 03:35:00,2019-08-17 04:25:00,2019-08-17 04:40:00,IA,2019-08-17 04:51:00,2019-08-17 03:35:00,2095,1700,Автобусы
78,1005,A,17.08.2019 3:45,AZ,596,I,5,FCO,320,180,129,6,Narrow_Body,1250,1495,1625,2019-08-17 03:45:00,2019-08-17 03:45:00,2019-08-17 04:35:00,2019-08-17 04:50:00,IA,2019-08-17 04:58:00,2019-08-17 03:45:00,2095,1700,Автобусы
79,899,D,17.08.2019 3:50,RL,7743,I,2,BCN,763,330,330,59,Wide_Body,1500,1840,2000,2019-08-17 02:30:00,2019-08-17 02:50:00,2019-08-17 03:50:00,2019-08-17 03:50:00,ID,2019-08-17 03:50:00,2019-08-17 02:29:00,2130,2100,Телетрап
80,546,A,17.08.2019 3:55,SU,2619,I,5,BRU,32A,158,114,37,Narrow_Body,1250,1495,1625,2019-08-17 03:55:00,2019-08-17 03:55:00,2019-08-17 04:45:00,2019-08-17 05:00:00,IA,2019-08-17 05:00:00,2019-08-17 03:55:00,1700,1700,Телетрап
81,970,A,17.08.2019 4:00,SU,2423,I,3,VCE,320,140,124,24,Narrow_Body,1250,1495,1625,2019-08-17 04:00:00,2019-08-17 04:00:00,2019-08-17 04:50:00,2019-08-17 05:05:00,IA,2019-08-17 05:03:00,2019-08-17 04:00:00,1640,1550,Телетрап
82,498,A,17.08.2019 4:00,SU,2317,I,3,SXF,32A,158,153,22,Narrow_Body,1250,1495,1625,2019-08-17 04:00:00,2019-08-17 04:00:00,2019-08-17 04:50:00,2019-08-17 05:05:00,IA,2019-08-17 05:03:00,2019-08-17 04:00:00,1640,1550,Телетрап
83,997,D,17.08.2019 4:05,AZ,543,I,5,CTA,321,200,141,39,Narrow_Body,1250,1495,1625,2019-08-17 03:00:00,2019-08-17 03:15:00,2019-08-17 04:05:00,2019-08-17 04:05:00,ID,2019-08-17 04:05:00,2019-08-17 02:59:00,1730,1700,Телетрап
84,480,A,17.08.2019 4:05,SU,2139,I,3,IST,73H,158,147,25,Narrow_Body,1250,1495,1625,2019-08-17 04:05:00,2019-08-17 04:05:00,2019-08-17 04:55:00,2019-08-17 05:10:00,IA,2019-08-17 05:08:00,2019-08-17 04:05:00,1640,1550,Телетрап
85,514,A,17.08.2019 4:10,SU,2355,I,5,VIE,73H,158,147,10,Narrow_Body,1250,1495,1625,2019-08-17 04:10:00,2019-08-17 04:10:00,2019-08-17 05:00:00,2019-08-17 05:15:00,IA,2019-08-17 05:20:00,2019-08-17 04:10:00,1945,1700,Автобусы
86,71,A,17.08.2019 4:10,SU,1373,D,1,EGO,SU9,87,75,203,Regional,1000,1150,1250,2019-08-17 04:10:00,2019-08-17 04:10:00,2019-08-17 04:50:00,2019-08-17 05:00:00,DA,2019-08-17 05:06:00,2019-08-17 04:10:00,1495,1450,Автобусы
87,1025,D,17.08.2019 4:10,JU,657,I,5,BEG,319,138,117,34,Narrow_Body,1250,1495,1625,2019-08-17 03:05:00,2019-08-17 03:20:00,2019-08-17 04:10:00,2019-08-17 04:10:00,ID,2019-08-17 04:10:00,2019-08-17 03:05:00,1700,1700,Телетрап
88,859,A,17.08.2019 4:15,SU,2453,I,3,CDG,321,170,134,30,Narrow_Body,1250,1495,1625,2019-08-17 04:15:00,2019-08-17 04:15:00,2019-08-17 05:05:00,2019-08-17 05:20:00,IA,2019-08-17 05:24:00,2019-08-17 04:15:00,1820,1550,Телетрап
89,977,A,17.08.2019 4:15,SU,2475,I,5,NCE,320,140,125,2,Narrow_Body,1250,1495,1625,2019-08-17 04:15:00,2019-08-17 04:15:00,2019-08-17 05:05:00,2019-08-17 05:20:00,IA,2019-08-17 05:25:00,2019-08-17 04:15:00,2035,1700,Автобусы
